device_name,clock_MHz,capability,SM_count," fp32_au_per_sm",tensor_core_au_per_sm,max_block,max_warp,memory_gb,shm_L3_kb,L2cache_mb,L1cache_kb,BW_gbps,"  max_reg",fp32_tflops,fp16_tflops
T4,1590,75,40,"64",8,16,32,16,64,4,64,320,"65536",8.141,65.13
P4,,,20,,,32,64,,96,,,,"65536",5.5,N/A
V100,1530,70,80,"64",8,32,64,32,96,6,128,900,"65536",15.67,31.33
A10,1695,,72,,4,32,64,24,164,6,128,600,"65536",31.24,31.24
A100,1410,80,108,"64",8,32,64,40,164,40,192,1555,"65536",19.49,77.97
A30,,,56,,,32,64,,164,,,,"65536",,
K80,824,37,,,,,,12,128,1.5,16,240.6,,4.113,
P100,1329,60,56,,,,,16,64,4,24,732.2,,9.526,
HL-100,1575,-1,-1,"-1",-1,-1,-1,8,-1,-1,-1,40,"-1",-1,-1
E5-2673,2300,-1,8,,-1,-1,-1,2048,51200,5,1280,572.24,"-1",0.9899,-1
EPYC-7452,2350,-1,4,,-1,-1,-1,2048,131072,16,2048,1525.6,"-1",1.650,-1
GRAVITON2,2500,-1,32,,-1,-1,-1,32,32768,1,64,4.75,"-1",0.64,-1
PLATINUM-8272,2600,-1,16,,-1,-1,-1,1024,36864,2,128,1049.04,"-1",1.225,-1
MAX,2000,,,,,,,64,256,64,256,2048,,12,